queried_country,ueln_code,organisation
Portugal,620001,Direçao Geral de Alimentaçao e Veterinaria
Portugal,620002,Direcçao Geral de Veterinaria
Portugal,620003,Associação Portuguesa de Criadores de Cavalo Puro Sangue Lusitano
France,250001,IFCE - SIRE
Spain,724901,Organismo emisor de Documento de Identificacion de Equidos de crianza y renta en la Comunidad Autonoma de Andalucia
Spain,724001,Federacion nacional de trote
Spain,724002,Asociacion de Criadores de Pura Sangre Inglés de Espana
Spain,724003,Direccion General. Produccion Agropecuaria
Spain,724004,Asociación de criadores de la raza Burguete de Navarra y Asociación de Criadores de Jaca Navarra
Spain,724006,Asociacion de Criadores de Ponis de Raza Asturcon
Spain,724007,Asociacion de Criadores de Cabalo de Pura Raza Galega
Spain,724008,Consejeria de Ganaderia Agricuctura y Pesca
Spain,724009,EPOFE (Euskal Pottokazaleen Federazioa)
Spain,724010,Servicio de Produccion Ganadera
Spain,724011,Asociacion para el fomento de la raza Asnal Catalana
Spain,724012,Agricultura y Pesca Servicio de Ganaderia
Spain,724013,Grupo de Conservacion y Fomento Burro Majorero
Spain,724014,Asociacion Nacional Criadores de Ganado raza asnal Zamorano-Leonesa
Spain,724015,Asociacion Nacional de Criadores de Caballos de Pura Raza Española
Spain,724016,ANCADES asociacion nacional del caballo de deporte espanol
Spain,724017,Asociación Española de Criadores de Caballos Anglo-árabes / Spanish Anglo-Arabian
Spain,724018,Union Espanola de Ganaderos de Caballos de Pura Raza Hispano-arabe
Spain,724019,Asociacion de Criadores y Propietarios de Caballos de Raza Mallorquina
Spain,724020,Asociacion de Criadores y Propietarios de Caballos de Raza Menorquina
Spain,724021,Asociacion de Criadores y Propietarios de Caballos Trotadores
Spain,724022,Asociacion Espanola de Criadores de Caballos Arabes
Spain,724906,Organismo emisor de Documento de Identificación de Équidos de crianza y renta en la Comunidad Autónoma de Cantabria
Spain,724907,Organismo emisor de Documento de Identificación de Équidos de crianza y renta en la Comunidad Autónoma de Castilla-La Mancha
Spain,724910,Organismo emisor de Documento de Identificación de Équidos de crianza y renta en la Comunidad Autónoma de Extremadura
Spain,724911,Organismo emisor de Documento de Identificación de Équidos de crianza y renta en la Comunidad Autónoma de Galicia
Spain,724912,Organismo emisor de Documento de Identificación de Équidos de crianza y renta en la Comunidad de Madrid
Spain,724916,Organismo emisor de Documento de Identificación de Équidos de crianza y renta en la Comunidad Autónoma de La Rioja
Spain,724914,Organismo emisor de Documento de Identificación de Équidos de crianza y renta en la Comunidad Foral de Navarra
Spain,724917,Organismo emisor de Documento de Identificación de Équidos de crianza y renta en la Comunidad Valenciana
Spain,724023,"Asociación de Criadores de Ganado Equino de la raza Hispano Bretona en Cantabria ""Manadas"""
Spain,724903,Consejeria de Medio Rural y Pesca des Principado de Asturias
Spain,724024,Unión de Ganaderos de la Raza Asnal Andaluza
Spain,724918,Organismo emisor de Documento de Identificacion de Équidos de crianza y renta en la Ciudad de Ceuta
Spain,724908,Organismo emisor de Documento de Identificacion de Équidos de crianza y renta en la Comunidad de Castilla y Leon
Spain,724919,Organismo emisor de Documento de Identificacion de Équidos de crianza y renta en la Ciudad de Melilla
Spain,724025,Federacio d'Asociacions de Criadors del Cavall Pirinenc Català
Spain,724026,Asociacion Nacional de Criadores de Ganado Marismeno
Spain,724913,Organismo emisor de Documento de Identificacion de Equidos de crianza y renta en la Comunidad Autonoma de la Region de Murcia
Spain,724915,Organismo emisor de Documento de Identificacion de Équidos de crianza y renta en la Comunidad Autonoma del Pais Vasco o Euskadi
Spain,724909,Departament d'Accio Climatica Alimentacio i Agenda Rural
Spain,724027,"Asociación de Criadores de Caballos Losinos ""El Bardojal"""
Spain,724904,Organismo emisor de Documento de Identificacion de Équidos de crianza y renta en la Comunidad Autonoma de las Illes Balears
Spain,724902,Organismo emisor de Documento de Identificacion de Equidos de crianza y renta en la Communidad Autonoma de Aragon
Spain,724028,Asociación del Asno de Pura Raza Andaluza
Spain,724029,Asociación de Criadores de Pura Raza Caballo de las Retuertas
Brazil,076001,Associacao Brasileira de Criadores do Cavalo de Hipismo
Brazil,076002,Associacao Brasileira de Criadores do cavalo Crioulo
Brazil,076003,Associacao Brasileira de Criadores do Cavalo Quarto de Milha
Brazil,076004,Associacao Brasileira dos criadores do cavalo Mangalarga Marchador
Brazil,076005,Associacao Brasileira dos Criadores do cavalo Puro Sangre Lusitano
Brazil,076006,Associacao Brasileira Dos Criadores Do Cavalo Arabe
Brazil,076BRZ,Stud Book Brasileiro do Cavalo de Corrida
Brazil,076007,Associacao Brasileira dos criadores do cavalo da raca anglo-arabe
Germany,276417,European Colored Horses Association
Germany,276307,Hauptverband für Traberzucht und rennen eV
Germany,276308,Verband der Zuchter und Freunde des Arabischen Pferdes e.V.
Germany,276309,Verband der Zuchter und Freunde des Ostpreussischen Warmblutpferdes Trakehner Abstammung e.V
Germany,276310,Zuchtverband für deutsche Pferde e.V
Germany,276311,Friesenpferde-Zuchtverband eV
Germany,276312,Deutsche Quarter Horse Association e.V
Germany,276313,Zuchtverband für Sportpferde Arabischer Abstammung
Germany,276321,Verband der Zuchter des Holsteiner Pferdes
Germany,276322,Pferdestammbuch Schleswig-Holstein / Hamburg e V
Germany,276327,Verband der Pferdezuchter Mecklenburg-Vorpommern e.V
Germany,276330,Zuchtverband für das Ostfriesische und Alt-Oldenburger Pferd e.V.
Germany,276331,Hannoveraner Verband e.V.
Germany,276333,Verband der Zuchter des Oldenburger Pferdes
Germany,276334,Verband der Pony-und Kleinpferdezüchter Hannover e.V
Germany,276335,Pferdestammbuch Weser-Ems e V
Germany,276336,Stammbuch für Kaltblutpferde Niedersachsen e.V
Germany,276337,Pferdezuchtverband Sachsen-Anhalt e.V
Germany,276341,Westfalisches Pferdestammbuch e.V
Germany,276343,Rheinisches Pferdestammbuch e.V
Germany,276351,Pferdezuchtverband Rheinland-Pfalz-Saar
Germany,276357,Pferdezuchtverband Brandenburg-Anhalt e.V.
Germany,276361,Verband Hessischer Pferdezüchter
Germany,276363,Verband der Pony und Pferdezüchter Hessen e.V
Germany,276367,Verband Thüringer Pferdezüchter e.V
Germany,276373,Pferdezuchtverband Baden-Württemberg e.V.
Germany,276381,Landesverband Bayerischer Pferdezüchter eV
Germany,276384,Bayerischer Zuchtverband für Kleinpferde und Spezialpferderassen e.V
Germany,276387,Pferdezuchtverband Sachsen-Thüringen e.V.
Germany,276GER,Deutscher Galopp e. V.
Germany,276316,Lipizzaner Zuchtverband Deutschland e.V.
Germany,276414,Paint Horse Club Germany e.V.
Germany,276366,Deutscher Pinto Zuchtverband e.V.
Germany,276418,Springpferdezuchtverband Oldenburg International e.V.
Germany,276455,Pferdezuchtverband Sachsen-Thüringen
Germany,276486,Zuchtverband für Senner Pferde e.V.
Germany,276478,Verein der Freunde und Züchter des Berberpferdes e.V.
Germany,276479,Appaloosa Horse Club Germany e V
Germany,276398,Deutscher Reiterliche Vereinigung e.V.
Germany,276501,Landesverband Baden-Württemberg für Leistungsprüfungen in der Tierzucht e.V.
Germany,276460,European Western Horse Breeders UG
Germany,276476,Deutscher Zuchtverband fur Esen e.V.
United Kingdom,826061,Comann Each nan Eilean - The Eriskay Pony (Purebred) Studbook Society
United Kingdom,826066,The Miniature Mediterranean Donkey Association
United Kingdom,826002,Anglo European Studbook
United Kingdom,826004,The British Horse Society
United Kingdom,826005,British Appaloosa Society
United Kingdom,826006,British Hanoverian Horse Society
United Kingdom,826007,British Horse Database
United Kingdom,826008,British miniature Horse Society
United Kingdom,826009,British Morgan Horse Society
United Kingdom,826010,British Palomino Horse Society
United Kingdom,826011,British Percheron Horse Society
United Kingdom,826012,American Quarter Horse Association UK
United Kingdom,826013,British Skewbald & Piebald Association
United Kingdom,826014,British Sport Horse Registry
United Kingdom,826015,British Spotted Pony Society
United Kingdom,826016,Warmblood Breeders Studbook UK
United Kingdom,826017,Caspian Horse Society
United Kingdom,826018,Cleveland Bay Horse Society
United Kingdom,826084,British Show Hack Cob & Riding Horse Association
United Kingdom,826020,Dales Pony Society
United Kingdom,826021,Dartmoor Pony Society
United Kingdom,826022,Donkey Breed Society
United Kingdom,826023,English Connemara Pony Society
United Kingdom,826024,Eriskay Pony Society
United Kingdom,826025,Exmoor Pony Society
United Kingdom,826026,Spotted Pony Breed Society (Great Britain)
United Kingdom,826027,Fell Pony Society
United Kingdom,826028,Fjord Horse National Stud Book Association of Great Britain
United Kingdom,372002,Friesan Horse Society of Great Britain and Ireland Ltd
United Kingdom,826030,Hackney Horse Society
United Kingdom,826031,Highland Pony Society
United Kingdom,826032,Icelandic Horse Society of Great Britain
United Kingdom,826033,International miniature Horse and Pony Society
United Kingdom,826034,Irish Draught Horse Society
United Kingdom,826035,Lipizzaner national stud book association of Great Britain
United Kingdom,826078,American Miniature Horse Club GB
United Kingdom,826037,National Pony Society
United Kingdom,826038,New Forest Pony Breeding & Cattle Society
United Kingdom,826039,Shetland Pony Stud-book Society
United Kingdom,826040,Shire Horse Society
United Kingdom,826041,Sport Horse Breeding of Great Britain
United Kingdom,826042,Spotted Horse and Pony Society
United Kingdom,826043,Suffolk Horse Society
United Kingdom,826044,Arab Horse Society
United Kingdom,826045,Trakehner Breeders Fraternity
United Kingdom,826046,Welsh Pony & Cob Society
United Kingdom,826047,Scottish Sport Horse
United Kingdom,8260GB,Weatherbys
United Kingdom,826049,British Driving Society
United Kingdom,826076,Farmkey Genus Breeding Ltd
United Kingdom,826075,Veteran Horse Society
United Kingdom,826050,British Harness Racing Club
United Kingdom,826051,British Equestrian federation
United Kingdom,826052,Hurlingham Polo Association
United Kingdom,826053,Caspian Breed Society (UK)
United Kingdom,826054,Coloured Horse and Pony Society UK
United Kingdom,826055,Scottish Icelandic Horse Association
United Kingdom,372007,The Standardbred and Trotting Horse Association of Great Britain and Ireland
United Kingdom,826003,British Association for the Purebred Spanish Horse
United Kingdom,826057,British Bavarian Warmblood Association
United Kingdom,826058,Appaloosa Horse Club UK
United Kingdom,826059,Fjord Horse registry of Scotland and Fjord Horse UK
United Kingdom,826060,The Sports Pony Studbook Society
United Kingdom,826072,The Clydesdale Horse Society
United Kingdom,826063,The American Saddlebred Association of Great Britain
United Kingdom,826064,British Show Jumping Association
United Kingdom,826065,The Haflinger Society of Great Britain
United Kingdom,826067,Horse Passport Agency Ltd
United Kingdom,826068,The Gypsy Cob Society Ltd
United Kingdom,826069,Horse Passport Agency Ltd
United Kingdom,826070,The Lipizzaner Society of GB
United Kingdom,826071,The United Saddlebred Association UK
United Kingdom,826073,Pet ID Equine
United Kingdom,826074,Horse Passports Ltd
United Kingdom,826077,Selle Francais/EquiCours
